Rank;DokumentType;Titel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af udlændingeloven (Mulighed for at pålægge en udlænding, der skal udrejse af landet, at lade sig undersøge for en sygdom omfattet af lov om foranstaltninger mod smitsomme og andre overførbare sygdomme);Folketinget;;;125;2020;AX025617;202014L00559;Retsinformation;;Fremgår af forskriften;20210114;20210116;20210116;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00559
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af sygedagpenge og barselslove (Forlængelse af den midlertidige periode med ret til sygedagpenge for lønmodtagere, der er i øget risiko ved smitte med covid-19, og for lønmodtagere, der er pårørende til personer, der er i øget risiko ved smitte med covid-19, forlængelse af den midlertidige periode med udvidet ret for arbejdsgiver til refusion og for selvstændige til sygedagpenge som følge af covid-19 og forlængelse af den midlertidige periode med ret til dagpenge ved pasning af børn som følge af covid-19);Folketinget;;;123;2020;AX025529;202014L00501;Retsinformation;;Fremgår af forskriften;20201218;20201219;20201219;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00501
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (10. december 2020) - L 123;Beskæftigelsesministeriet;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/20695;L 123;2020;BE008671;20201XX00372;Retsinformation;;Fremgår af forskriften;20201210;20201211;20201211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00372
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om sygedagpenge og barselsloven (Forlængelse af den midlertidige periode med ret til sygedagpenge for lønmodtagere, der er i øget risiko ved smitte med covid-19, og for lønmodtagere, der er pårørende til personer, der er i øget risiko ved smitte med covid-19, forlængelse af den midlertidige periode med udvidet ret for arbejdsgiver til refusion og for selvstændige til sygedagpenge som følge af covid-19 og forlængelse af den midlertidige periode med ret til dagpenge ved pasning af børn som følge af covid-19);Beskæftigelsesministeriet;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/20695;123;2020;BE008673;202012L00123;Retsinformation;;Fremgår af forskriften;20201210;20201211;20201211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00123
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om sygedagpenge og barselsloven (Forlængelse af den midlertidige periode med ret til sygedagpenge for lønmodtagere, der er i øget risiko ved smitte med covid-19, og for lønmodtagere, der er pårørende til personer, der er i øget risiko ved smitte med covid-19, forlængelse af den midlertidige periode med udvidet ret for arbejdsgiver til refusion og for selvstændige til sygedagpenge som følge af covid-19 og forlængelse af den midlertidige periode med ret til dagpenge ved pasning af børn som følge af covid-19);Folketinget;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/20695;123;2020;AX025574;202013L00123;Retsinformation;;Fremgår af forskriften;20201222;20201223;20201223;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00123
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (10. december 2020) - L 122;Beskæftigelsesministeriet;;Beskæftigelsesmin., j.nr. 2020-9475;L 122;2020;BE008683;20201XX00374;Retsinformation;;Fremgår af forskriften;20201210;20201211;20201211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00374
A;Lovforslag som fremsat;Forslag til lov om ændring af lov om adgang til iværksættelse af midlertidig arbejdsfordeling som led i håndteringen af covid-19 og lov om arbejdsløshedsforsikring m.v. (Forlængelse af den midlertidige arbejdsfordelingsordning, forlængelse af suspension af forbrug af dagpenge, undtagelse for automatisk genindplacering, undtagelse for månedskontrol m.v.);Beskæftigelsesministeriet;;Beskæftigelsesmin., j.nr. 2020-9475;122;2020;BE008682;202012L00122;Retsinformation;;Fremgår af forskriften;20201210;20201211;20201211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00122
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om adgang til iværksættelse af midlertidig arbejdsfordeling som led i håndteringen af covid-19 og lov om arbejdsløshedsforsikring m.v. (Forlængelse af den midlertidige arbejdsfordelingsordning, forlængelse af suspension af forbrug af dagpenge, undtagelse for automatisk genindplacering, undtagelse for månedskontrol m.v.);Folketinget;;Beskæftigelsesmin., j.nr. 2020-9475;122;2020;AX025444;202013L00122;Retsinformation;;Fremgår af forskriften;20201215;20201216;20201216;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00122
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om adgang til iværksættelse af midlertidig arbejdsfordeling som led i håndteringen af covid-19 og lov om arbejdsløshedsforsikring m.v. (Forlængelse af den midlertidige arbejdsfordelingsordning, forlængelse af suspension af forbrug af dagpenge, undtagelse for automatisk genindplacering, undtagelse for månedskontrol m.v.);Folketinget;;;122;2020;AX025439;202014L00430;Retsinformation;;Fremgår af forskriften;20201214;20201215;20201215;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00430
A;Tillægsbetænkning over lovforslag;Tillægsbetænkning over Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag og lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag, lov om erhvervsuddannelser og lov om arbejdsmarkedsuddannelser m.v. (Justering af det praktikpladsafhængige arbejdsgiverbidrag og indførelse af fleksibelt uddannelsesbidrag);Folketinget;;;120;2020;AX025579;202015L00529;Retsinformation;;Fremgår af forskriften;20201221;20201222;20201222;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202015L00529
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af toldloven (Tilpasning af toldloven til EU s moderniserede pengeforordning m.v.);Folketinget;;;119;2020;AX026385;202014L01175;Retsinformation;;Fremgår af forskriften;20210520;20210521;20210521;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L01175
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om institutioner for erhvervsrettet uddannelse og lov om erhvervsuddannelser (Fritagelse for betalingskravet på erhvervsuddannelser for visse flygtninge og familiesammenførte);Folketinget;;;115;2020;AX025802;202014L00731;Retsinformation;;Fremgår af forskriften;20210211;20210216;20210216;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00731
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (26. november 2020) - L 114;Børne- og Undervisningsministeriet;;Børne- og Undervisningsmin., j.nr. 20/16084;L 114;2020;DA000382;20201XX00266;Retsinformation;;Fremgår af forskriften;20201126;20201127;20201127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00266
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om midlertidige foranstaltninger på børne- og undervisningsområdet og folkehøjskoleområdet og for den frie folkeoplysende virksomhed til forebyggelse og afhjælpning i forbindelse med covid-19 (Forlængelse af lovens gyldighed);Folketinget;;;114;2020;AX025751;202014L00674;Retsinformation;;Fremgår af forskriften;20210204;20210206;20210206;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00674
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om midlertidige foranstaltninger på børne- og undervisningsområdet og folkehøjskoleområdet og for den frie folkeoplysende virksomhed til forebyggelse og afhjælpning i forbindelse med covid-19 (Forlængelse af lovens gyldighed);Børne- og Undervisningsministeriet;;Børne- og Undervisningsmin., j.nr. 20/16084;114;2020;DA000383;202012L00114;Retsinformation;;Fremgår af forskriften;20201126;20201127;20201127;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00114
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om midlertidige foranstaltninger på børne- og undervisningsområdet og folkehøjskoleområdet og for den frie folkeoplysende virksomhed til forebyggelse og afhjælpning i forbindelse med covid-19 (Forlængelse af lovens gyldighed);Folketinget;;Børne- og Undervisningsmin., j.nr. 20/16084;114;2020;AX025822;202013L00114;Retsinformation;;Fremgår af forskriften;20210223;20210224;20210224;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00114
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (25. november 2020) - L 113;Transport- og Boligministeriet;;Transport- og Boligmin., j.nr. 2019-6537;L 113;2020;CZ000382;20201XX00256;Retsinformation;;Fremgår af forskriften;20201125;20201126;20201126;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00256
A;Ændringsforslag til 2. behandling (L);Ændringsforslag til 2. behandling af Forslag til lov om ændring af lov om almene boliger m.v. (Frafald af tillægskøbesum);Folketinget;;;113;2020;AX025800;202017L00729;Retsinformation;;Fremgår af forskriften;20210211;20210213;20210213;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202017L00729
A;Ændringsforslag til 2. behandling (L);Ændringsforslag til 2. behandling af Forslag til lov om ændring af lov om forsøg i folkekirken (Mulighed for udfasningsperiode);Folketinget;;;112;2020;AX025814;202017L00739;Retsinformation;;Fremgår af forskriften;20210210;20210219;20210219;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202017L00739
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (25. november 2020) - L 110;Justitsministeriet;;Justitsmin., j.nr. 2020-0090-2378;L 110;2020;AA012151;20201XX00262;Retsinformation;;Fremgår af forskriften;20201125;20201126;20201126;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00262
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om ændring af straffeloven, retsplejeloven og udlændingeloven (Ophævelse af revisionsbestemmelse);Folketinget;;Justitsmin., j.nr. 2020-0090-2378;110;2020;AX025876;202013L00110;Retsinformation;;Fremgår af forskriften;20210302;20210303;20210303;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00110
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om ændring af straffeloven, retsplejeloven og udlændingeloven (Ophævelse af revisionsbestemmelse);Justitsministeriet;;Justitsmin., j.nr. 2020-0090-2378;110;2020;AA012150;202012L00110;Retsinformation;;Fremgår af forskriften;20201125;20201126;20201126;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00110
A;Ændringsforslag til 2. behandling (L);Ændringsforslag til 2. behandling af Forslag til lov om ændring af lov om offentlige betalinger m.v. (Nemkontosystemet stilles til rådighed for grønlandske myndigheder);Folketinget;;;108;2020;AX025782;202017L00715;Retsinformation;;Fremgår af forskriften;20210210;20210211;20210211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202017L00715
A;Lovforslag som vedtaget;Forslag til Lov om arbejdsgiveres adgang til at pålægge lønmodtagere at blive testet for covid-19 m.v.;Folketinget;;Beskæftigelsesmin., j.nr. 2020-6991;102;2020;AX025154;202013L00102;Retsinformation;;Fremgår af forskriften;20201119;20201120;20201120;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00102
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om arbejdsgiveres adgang til at pålægge lønmodtagere test for covid-19 m.v.;Folketinget;;;102;2020;AX025150;202014L00232;Retsinformation;;Fremgår af forskriften;20201118;20201119;20201119;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00232
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (12. november 2020) - L 102;Beskæftigelsesministeriet;;Beskæftigelsesmin., j.nr. 2020-6991;L 102;2020;BE008611;20201XX00196;Retsinformation;;Fremgår af forskriften;20201112;20201113;20201113;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00196
A;Lovforslag som fremsat;Forslag til Lov om arbejdsgiveres adgang til at pålægge lønmodtagere test for covid-19 m.v.;Beskæftigelsesministeriet;;Beskæftigelsesmin., j.nr. 2020-6991;102;2020;BE008610;202012L00102;Retsinformation;;Fremgår af forskriften;20201112;20201113;20201113;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00102
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om kemikalier, lov om miljøbeskyttelse og lov om gødning og jordforbedringsmidler m.v. (Supplerende bestemmelser til markedsovervågningsforordningen samt offentliggørelsesordning, registreringsordning og andre justeringer af tilsyns- og håndhævelsesbestemmelserne i lov om kemikalier);Miljø- og Fødevareministeriet;;Miljø- og Fødevaremin., j.nr. 2019-22019;95;2020;CK002680;202012L00095;Retsinformation;;Fremgår af forskriften;20201112;20201113;20201113;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00095
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (12. november 2020) - L 93;Udlændinge- og Integrationsministeriet;;Udlændinge- og Integrationsmin., j.nr. 2020-17251;L 93;2020;CS000894;20201XX00206;Retsinformation;;Fremgår af forskriften;20201112;20201113;20201113;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00206
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om ændring af lov om politiets virksomhed (Ophævelse af udløbsklausul for udvidet bemyndigelse til at fastsætte regler om zoneforbud);Justitsministeriet;;Justitsmin., j.nr. 2020-5002-0016;86;2020;AA012124;202012L00086;Retsinformation;;Fremgår af forskriften;20201111;20201112;20201112;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00086
A;Ændringsforslag til 2. behandling (L);Ændringsforslag til 2. behandling af Forslag til lov om ændring af lov om offentlige veje m.v. og jernbaneloven (Implementering af VVM-direktivet for statslige vej- og jernbaneprojekter);Folketinget;;;84;2020;AX025830;202017L00745;Retsinformation;;Fremgår af forskriften;20210219;20210223;20210223;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202017L00745
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om kommunal indkomstskat og lov om kommunal udligning og generelle tilskud til kommuner (Ekstraordinær mulighed for at omgøre valg af selvbudgettering for 2020 som følge af covid-19);Folketinget;;;83;2020;AX025301;202014L00323;Retsinformation;;Fremgår af forskriften;20201203;20201205;20201205;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00323
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (11. november 2020) - L 83;Social- og Indenrigsministeriet;;Social- og Indenrigsmin., j.nr. 2020-9267;L 83;2020;CY000784;20201XX00172;Retsinformation;;Fremgår af forskriften;20201111;20201112;20201112;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00172
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om kommunal indkomstskat og lov om kommunal udligning og generelle tilskud til kommuner (Ekstraordinær mulighed for at omgøre valg af selvbudgettering for 2020 som følge af covid-19);Social- og Indenrigsministeriet;;Social- og Indenrigsmin., j.nr. 2020-9267;83;2020;CY000779;202012L00083;Retsinformation;;Fremgår af forskriften;20201111;20201112;20201112;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00083
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om kommunal indkomstskat og lov om kommunal udligning og generelle tilskud til kommuner (Ekstraordinær mulighed for at omgøre valg af selvbudgettering for 2020 som følge af covid-19);Folketinget;;Social- og Indenrigsmin., j.nr. 2020-9267;83;2020;AX025424;202013L00083;Retsinformation;;Fremgår af forskriften;20201215;20201216;20201216;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00083
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af selskabsloven, lov om ændring af selskabsloven og årsregnskabsloven og lov om bemyndigelse til midlertidig fravigelse af virksomheders pligter på selskabs- og regnskabsområdet i forbindelse med covid-19 (Lempeligere krav til omregistrering af iværksætterselskaber til anpartsselskaber og bemyndigelse til midlertidig fravigelse af bestemmelser om fysisk fremmøde ved generalforsamling i virksomheders vedtægter eller tilsvarende aftaler i forbindelse med covid-19 m.v.);Folketinget;;;82;2020;AX025387;202014L00390;Retsinformation;;Fremgår af forskriften;20201210;20201211;20201211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00390
A;Lovforslag som fremsat;Forslag til Lov om ændring af selskabsloven, lov om ændring af selskabsloven og årsregnskabsloven og lov om bemyndigelse til midlertidig fravigelse af virksomheders pligter på selskabs- og regnskabsområdet i forbindelse med covid-19 (Lempeligere krav til omregistrering af iværksætterselskaber til anpartsselskaber og bemyndigelse til midlertidig fravigelse af bestemmelser om fysisk fremmøde ved generalforsamling i virksomheders vedtægter eller tilsvarende aftaler i forbindelse med covid-19 m.v.);Erhvervsministeriet;;Erhvervsmin,.\nErhvervsstyrelsen., j.nr. 2020-1013;82;2020;CQ001434;202012L00082;Retsinformation;;Fremgår af forskriften;20201111;20201112;20201112;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00082
A;Lovforslag som vedtaget;Forslag til Lov om ændring af selskabsloven og lov om bemyndigelse til midlertidig fravigelse af virksomheders pligter på selskabs- og regnskabsområdet i forbindelse med covid-19 (Lempeligere krav til omregistrering af iværksætterselskaber til anpartsselskaber og bemyndigelse til midlertidig fravigelse af bestemmelser om fysisk fremmøde ved generalforsamling i virksomheders vedtægter eller tilsvarende aftaler i forbindelse med covid-19 m.v.);Folketinget;;Erhvervsmin,.\nErhvervsstyrelsen., j.nr. 2020-1013;82;2020;AX025481;202013L00082;Retsinformation;;Fremgår af forskriften;20201217;20201218;20201218;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00082
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (11. november 2020) - L 82;Erhvervsministeriet;;Erhvervsmin.,\nErhvervsstyrelsen, j.nr. 2020-1013;L 82;2020;CQ001435;20201XX00174;Retsinformation;;Fremgår af forskriften;20201111;20201112;20201112;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00174
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om organisering og understøttelse af beskæftigelsesindsatsen m.v., lov om aktiv socialpolitik og lov om kompensation til handicappede i erhverv m.v. (Styrket og forenklet indgang til korte erhvervsrettede kurser, udvidelse af mindre intensiv indsats, varslingspuljens anvendelsesområde samt fritagelse for indsats og rådighed for unge, der deltager i særligt tilrettelagt ungdomsuddannelse (STU) m.v.);Beskæftigelsesministeriet;;Beskæftigelsesmin., \ Styrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/14718;79;2020;BE008602;202012L00079;Retsinformation;;Fremgår af forskriften;20201111;20201112;20201112;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00079
A;Ændringsforslag til 2. behandling (L);Ændringsforslag til 2. behandling af Forslag til lov om ændring af lov om erhvervsakademiuddannelser og professionsbacheloruddannelser, lov om maritime uddannelser og forskellige andre love og om ophævelse af lov om friplads og stipendium til visse udenlandske studerende ved erhvervsakademiuddannelser og professionsbacheloruddannelser (Adgangskurser til udvalgte erhvervsakademi- og professionsbacheloruddannelser, godkendelse af maritime ikkevideregående uddannelser m.v.);Folketinget;;;78;2020;AX025781;202017L00713;Retsinformation;;Fremgår af forskriften;20210210;20210211;20210211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202017L00713
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (10. november 2020) - L 77;Miljø- og Fødevareministeriet;;Miljø- og Fødevaremin., j.nr. 2020-21759;L 77;2020;CK002701;20201XX00156;Retsinformation;;Fremgår af forskriften;20201110;20201111;20201111;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00156
A;Lovforslag som vedtaget;Forslag til Lov om aflivning af og midlertidigt forbud mod hold af mink;Folketinget;;Miljø- og Fødevaremin., j.nr. 2020-21759;77;2020;AX025560;202013L00077;Retsinformation;;Fremgår af forskriften;20201221;20201222;20201222;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00077
A;Lovforslag som fremsat;Forslag til Lov om aflivning af og midlertidigt forbud mod hold af mink;Miljø- og Fødevareministeriet;;Miljø- og Fødevaremin., j.nr. 2020-21759;77;2020;CK002698;202012L00077;Retsinformation;;Fremgår af forskriften;20201110;20201111;20201111;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00077
A;Tillægsbetænkning over lovforslag;Tillægsbetænkning over Forslag til lov om aflivning af og midlertidigt forbud mod hold af mink;Folketinget;;;77;2020;AX025528;202015L00499;Retsinformation;;Fremgår af forskriften;20201216;20201219;20201219;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202015L00499
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om aflivning af og midlertidigt forbud mod hold af mink;Folketinget;;;77;2020;AX025298;202014L00316;Retsinformation;;Fremgår af forskriften;20201202;20201204;20201205;;;FALSE;;Justering af KF's indstilling;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00316
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om arbejdsløshedsforsikring m.v., lov om sygedagpenge, lov om aktiv socialpolitik og lov om seniorjob (Forlængelse af dagpengeperioden og retten til sygedagpenge, genindførelse af forlængelse af 12-månedersperioden i 225-timersreglen og konsekvensrettelse i lov om seniorjob som følge af dagpengeperiodens forlængelse);Folketinget;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/18794;76;2020;AX025155;202013L00076;Retsinformation;;Fremgår af forskriften;20201119;20201120;20201120;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00076
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om arbejdsløshedsforsikring m.v., lov om sygedagpenge og lov om aktiv socialpolitik (Forlængelse af dagpengeperioden og retten til sygedagpenge samt genindførelse af forlængelse af 12-månedersperioden i 225-timersreglen);Beskæftigelsesministeriet;;Beskæftigelsesmin.,\nStyrelsen for Arbejdsmarked og Rekruttering, j.nr. 20/18794;76;2020;BE008605;202012L00076;Retsinformation;;Fremgår af forskriften;20201110;20201111;20201111;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00076
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om midlertidig udskydelse af angivelses- og betalingsfrister m.v. på skatteområdet i forbindelse med covid-19 og lov om rentefrie lån svarende til angivet moms og lønsumsafgift og fremrykket udbetaling af skattekreditter m.v. i forbindelse med covid-19 (Genåbning af låneordning vedrørende moms og lønsumsafgift som følge af covid-19);Folketinget;;;75;2020;AX025116;202014L00182;Retsinformation;;Fremgår af forskriften;20201111;20201112;20201112;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00182
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om midlertidig udskydelse af angivelses- og betalingsfrister m.v. på skatteområdet i forbindelse med covid-19 og lov om rentefrie lån svarende til angivet moms og lønsumsafgift og fremrykket udbetaling af skattekreditter m.v. i forbindelse med covid-19 (Genåbning af låneordning vedrørende moms og lønsumsafgift som følge af covid-19);Folketinget;;Skattemin., j.nr. 2020-8401;75;2020;AX025119;202013L00075;Retsinformation;;Fremgår af forskriften;20201112;20201113;20201113;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00075
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (4. november 2020) - L 75;Skatteministeriet;;Skattemin., j.nr. 2020-8401;L 75;2020;AN014615;20201XX00152;Retsinformation;;Fremgår af forskriften;20201104;20201105;20201105;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00152
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om midlertidig udskydelse af angivelses- og betalingsfrister m.v. på skatteområdet i forbindelse med covid-19 og lov om rentefrie lån svarende til angivet moms og lønsumsafgift og fremrykket udbetaling af skattekreditter m.v. i forbindelse med covid-19 (Genåbning af låneordning vedrørende moms og lønsumsafgift som følge af covid-19);Skatteministeriet;;Skattemin., j.nr. 2020-8401;75;2020;AN014614;202012L00075;Retsinformation;;Fremgår af forskriften;20201104;20201105;20201105;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00075
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (30. oktober 2020) - L 73;Udlændinge- og Integrationsministeriet;;Udlændinge- og Integrationsmin., j.nr. 2020-1314;L 73;2020;CS000873;20201XX00146;Retsinformation;;Fremgår af forskriften;20201030;20201031;20201031;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00146
A;Lovforslag som fremsat;Forslag til Lov om indfødsrets meddelelse;Udlændinge- og Integrationsministeriet;;Udlændinge- og Integrationsmin., j.nr. 2020-1314;73;2020;CS000872;202012L00073;Retsinformation;;Fremgår af forskriften;20201030;20201031;20201031;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00073
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om udstationering af lønmodtagere m.v. (Implementering af det reviderede udstationeringsdirektiv og målretning af anmeldelsespligten til Registret for Udenlandske Tjenesteydere (RUT) for selvstændigt erhvervsdrivende uden ansatte m.v.);Folketinget;;;71;2020;AX025294;202014L00312;Retsinformation;;Fremgår af forskriften;20201202;20201204;20201204;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00312
A;Lovforslag som fremsat;Forslag til Lov om afgift af polyvinylklorid og ftalater (pvc-afgiftsloven);Skatteministeriet;;Skattemin., j.nr. 2020-342;68;2020;AN014590;202012L00068;Retsinformation;;Fremgår af forskriften;20201030;20201031;20201031;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00068
A;Lovforslag som fremsat;Forslag til lov om ændring af lov om elforsyning (Gennemførelse af elmarkedsdirektivet, ensretning af udløbsdatoer for netbevillinger m.v.);Klima-, Energi- og Forsyningsministeriet;;Klima-, Energi- og Forsyningsmin.,\nEnergistyrelsen, j.nr. 2019-90526;67;2020;DB000194;202012L00067;Retsinformation;;Fremgår af forskriften;20201030;20201031;20201031;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00067
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (21. oktober 2020) - L 65;Justitsministeriet;;Justitsmin., j.nr. 2020-10-0564;L 65;2020;AA012056;20201XX00134;Retsinformation;;Fremgår af forskriften;20201021;20201022;20201022;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00134
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af konkursloven, lov om Lønmodtagernes Garantifond og lov om lønmodtageres retsstilling ved virksomhedsoverdragelse (Værneting ved gældssanering og ændringer i rekonstruktionsreglerne som følge af covid-19);Folketinget;;;65;2020;AX025949;202014L00821;Retsinformation;;Fremgår af forskriften;20210304;20210306;20210306;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00821
