Rank;DokumentType;Titel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
A;Beslutningsforslag som fremsat;Betænkning og indstilling om ændring af forretningsorden for Folketinget (Oprettelse af Epidemiudvalget som nyt stående udvalg);Folketinget;;;155;2020;AX025783;20201BB00155;Retsinformation;;Fremgår af forskriften;20210210;20210211;20210211;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201BB00155
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om kommuners og regioners indkøb i forbindelse med håndtering af covid-19 (Forlængelse af lovens gyldighedsperiode);Folketinget;;;153;2020;AX025796;202014L00725;Retsinformation;;Fremgår af forskriften;20210211;20210213;20210213;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00725
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (3. februar 2021) - L 153;Indenrigs- og Boligministeriet;;Indenrigs- og Boligmin., j.nr. 2020-3244;L 153;2020;DE000006;20201XX00656;Retsinformation;;Fremgår af forskriften;20210203;20210204;20210204;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00656
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om kommuners og regioners indkøb i forbindelse med håndtering af covid-19 (Forlængelse af lovens gyldighedsperiode);Indenrigs- og Boligministeriet;;Indenrigs- og Boligmin., j.nr. 2020-3244;153;2020;DE000005;202012L00153;Retsinformation;;Fremgår af forskriften;20210203;20210204;20210204;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00153
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om kommuners og regioners indkøb i forbindelse med håndtering af covid-19 (Forlængelse af lovens gyldighedsperiode);Folketinget;;Indenrigs- og Boligmin., j.nr. 2020-3244;153;2020;AX025840;202013L00153;Retsinformation;;Fremgår af forskriften;20210223;20210224;20210224;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00153
A;Betænkning  over lovforslag;Betænkning over Forslag til lov om ændring af lov om foranstaltninger mod smitsomme sygdomme og andre overførbare sygdomme, sundhedsloven og retsplejeloven (Yderligere foranstaltninger for at forebygge og inddæmme nye virusvarianter af covid-19 og udvidet adgang til kommunale isolationsfaciliteter);Folketinget;;;152;2020;AX025715;202014L00636;Retsinformation;;Fremgår af forskriften;20210201;20210202;20210202;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202014L00636
A;Lovforslag som fremsat;Forslag til Lov om ændring af lov om foranstaltninger mod smitsomme sygdomme og andre overførbare sygdomme, sundhedsloven og retsplejeloven (Yderligere foranstaltninger for at forebygge og inddæmme nye virusvarianter af covid-19 og udvidet adgang til kommunale isolationsfaciliteter);Sundhedsministeriet;;Sundhedsmin., j.nr. 2101221;152;2020;DI000008;202012L00152;Retsinformation;;Fremgår af forskriften;20210128;20210129;20210129;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202012L00152
A;Lovforslag som vedtaget;Forslag til Lov om ændring af lov om foranstaltninger mod smitsomme sygdomme og andre overførbare sygdomme, sundhedsloven og retsplejeloven (Yderligere foranstaltninger for at forebygge og inddæmme nye virusvarianter af covid-19 og udvidet adgang til kommunale isolationsfaciliteter);Folketinget;;Sundhedsmin., j.nr. 2101221;152;2020;AX025728;202013L00152;Retsinformation;;Fremgår af forskriften;20210202;20210203;20210203;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202013L00152
A;Tillægsbetænkning over lovforslag;Tillægsbetænkning over Forslag til lov om ændring af lov om foranstaltninger mod smitsomme sygdomme og andre overførbare sygdomme, sundhedsloven og retsplejeloven (Yderligere foranstaltninger for at forebygge og inddæmme nye virusvarianter af covid-19 og udvidet adgang til kommunale isolationsfaciliteter);Folketinget;;;152;2020;AX025737;202015L00652;Retsinformation;;Fremgår af forskriften;20210202;20210203;20210203;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/202015L00652
A;Skriftlig fremsættelse af lovforslag;Skriftlig fremsættelse (28. januar 2021) - L 152;Sundhedsministeriet;;Sundhedsmin., j.nr. 2101221;L 152;2020;DI000009;20201XX00628;Retsinformation;;Fremgår af forskriften;20210128;20210129;20210129;;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ft/20201XX00628
